순위,단어,품사,등급,카테고리
2246,거짓말,명,B,기타
819,거치다01,동,C,기타
2306,거칠다,형,C,기타
4040,거품,명,C,기타
1129,걱정,명,A,감정 및 상태
10384,걱정되다,동,B,감정 및 상태
5850,걱정스럽다,형,B,감정 및 상태
2491,걱정하다,동,A,감정 및 상태
1707,건04,의,C,기타
647,건강03,명,A,자연 및 환경
1297,건강하다02,형,A,자연 및 환경
7984,건너01,명,C,기타
4255,건너가다,동,B,동작
2276,건너다,동,B,기타
7167,건너오다,동,B,동작
5448,건너편,명,B,기타
9030,건넌방,명,C,기타
4760,건네다,동,C,기타
4112,건네주다,동,C,기타
3907,건드리다,동,C,기타
649,건물03,명,A,기타
790,건설,명,C,기타
5851,건설되다,동,C,기타
2263,건설하다,동,C,기타
3388,건전하다,형,C,기타
3849,건조04,명,C,기타
8659,건조하다02,형,C,기타
2790,건지다,동,B,기타
2616,건축01,명,B,기타
8660,걷기,명,C,기타
546,걷다02,동,A,기타
5314,걷다03,동,C,기타
7985,걷다04,동,C,기타
716,걸다02,동,A,기타
380,걸리다01,동,B,기타
1970,걸어가다,동,A,동작
4041,걸어오다01,동,A,동작
1647,걸음,명,B,기타
837,걸치다,동,C,기타
1585,검다02,형,B,기타
3025,검사02,명,C,기타
1512,검사03,명,B,기타
3064,검은색,명,A,기타
38923,검정색,명,B,기타
2850,검토,명,C,기타
2644,겁05,명,B,기타
7987,겁나다02,동,C,기타
1,것01,의,A,기타
2759,겉01,명,B,기타
4761,게01,명,C,기타
1415,게다가,부,B,기타
7687,게시판,명,C,기타
13080,게으르다,형,C,기타
877,게임,명,A,기타
1648,겨우,부,B,기타
920,겨울,명,A,기타
6009,겨울철,명,B,기타
5711,겨자01,명,C,기타
838,겪다,동,C,기타
1341,견디다,동,B,기타
1470,견해02,명,C,기타
211,결과02,명,B,기타
4487,결과적,명,C,기타
352,결국,명,B,기타
1513,결론02,명,C,기타
16464,결석01,명,C,기타
25684,결석하다,동,C,기타
4113,결승01,명,C,기타
4763,결심01,명,C,기타
3623,결심하다01,동,B,기타
1092,결정01,명,B,기타
1986,결정되다01,동,B,기타
1033,결정하다01,동,B,기타
752,결코,부,C,기타
601,결혼,명,A,사람 및 관계
3389,결혼식,명,A,사람 및 관계
1130,결혼하다,동,A,사람 및 관계
2461,경계04,명,C,기타
2702,경고04,명,C,기타
5712,경고하다02,동,C,기타
2543,경기05,명,C,기타
739,경기11,명,B,기타
,경기도,고,B,기타
3624,경기장,명,B,기타
3672,경력02,명,C,기타
,경복궁,고,A,기타
4968,경비02,명,C,기타
,경상도,고,B,기타
1034,경영02,명,B,기타
6746,경영하다01,동,C,기타
65,경우03,명,B,기타
762,경쟁,명,C,기타
2264,경쟁력,명,C,기타
200,경제04,명,B,문화 및 사회
4969,경제력,명,C,문화 및 사회
2492,경제적,명,B,문화 및 사회
5713,경제학,명,C,문화 및 사회
,경주,고,A,기타
632,경찰04,명,A,기타
2329,경찰관,명,A,기타
3214,경찰서,명,A,기타
5452,경치02,명,A,기타
1093,경향02,명,C,기타
585,경험,명,B,기타
2170,경험하다,동,B,기타
1586,곁01,명,B,기타
2544,계곡01,명,C,기타
2206,계단04,명,B,기타
6951,계란,명,A,기타
1827,계산01,명,B,자연 및 환경
3390,계산기,명,B,자연 및 환경
2916,계산하다,동,B,자연 및 환경
405,계속04,부,A,기타
1075,계속되다02,동,B,기타
1149,계속하다03,동,B,기타
1432,계시다,보,A,기타
1163,계시다,동,A,기타
2350,계약,명,B,기타
2520,계절01,명,A,자연 및 환경
3138,계좌02,명,C,기타
2054,계층,명,C,기타
400,계획01,명,A,기타
